id	tiêu đề	mô tả	liên kết	tình trạng	giá	giá ưu đãi	ngày giá ưu đãi có hiệu lực	còn hàng	liên kết hình ảnh	nhãn hiệu	loại sản phẩm	custom_label_0	custom_label_1	custom_label_2	custom_label_3
4317	Đàn Martin X Series DC-X2E Rosewood Acoustic Guitar w/Bag	Đàn Martin X Series DC-X2E Rosewood Acoustic Guitar w/Bag, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-martin-x-series-dc-x2e-rosewood-acoustic-guitar-w-bag.html	mới	19910000 VND	18914500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-martin-x-series-dc-x2e-mahogany-acoustic-guitar-w-bag_8930.jpg		Đàn Guitar > Đàn Guitar MARTIN > Guitar Acoustic Martin	Đàn Guitar - Đàn Guitar MARTIN - Guitar Acoustic Martin	0	Guitar Acoustic Martin	Không Ưu Tiên
4315	Đàn guitar Fender ACS CC-60S SB 09770150032	Đàn guitar Fender ACS CC-60S SB 09770150032, Nhạc cụ Tiến Đạt	http://localhost:50857/electric-guitar-fd/dan-guitar-fender-acs-cc-60s-sb-09770150032.html	mới	5950000 VND	4590000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-fender-acs-cc-60s-sb-09770150032.jpg		Đàn Guitar > Đàn Guitar FENDER > Electric Guitar	Đàn Guitar - Đàn Guitar FENDER - Electric Guitar	0	Electric Guitar	Không Ưu Tiên
4314	Đàn Guitar điện Fender -SQ tele Bullets LRL Blk 0370045506	Đàn Guitar điện Fender -SQ tele Bullets LRL Blk 0370045506, Nhạc cụ Tiến Đạt	http://localhost:50857/electric-guitar-fd/dan-guitar-dien-fender-sq-tele-bullets-lrl-blk-0370045506.html	mới	4800000 VND	4560000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-dien-fender-sq-tele-bullets-lrl-blk-0370045506_1917.jpg		Đàn Guitar > Đàn Guitar FENDER > Electric Guitar	Đàn Guitar - Đàn Guitar FENDER - Electric Guitar	0	Electric Guitar	Không Ưu Tiên
4313	Ampli Guitar AROMA AG-10 Electric	Ampli Guitar AROMA AG-10 Electric, Nhạc cụ Tiến Đạt	http://localhost:50857/amplifier-aroma/ampli-guitar-aroma-ag-10-electric.html	mới	1500000 VND	1290000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/ampli-guitar-aroma-ag-10-electric_9224.jpg		Trống - Amplifier > AMPLIFIER > Amplifier AROMA	Trống - Amplifier - AMPLIFIER - Amplifier AROMA	0	Amplifier AROMA	Không Ưu Tiên
4312	Trống Jazz TAMA WBS52RZS-LOR Starclassic Walnut Lacquer Ocean Blue	Trống Jazz TAMA WBS52RZS-LOR Starclassic Walnut Lacquer Ocean Blue, Nhạc cụ Tiến Đạt	http://localhost:50857/tama-jazz-drum/trong-jazz-tama-wbs52rzs-lor-starclassic-walnut-lacquer-ocean-blue.html	mới	62920000 VND	59774000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/trong-jazz-tama-wbs52rzs-lor-starclassic-walnut-lacquer-ocean-blue.jpg		Trống - Amplifier > Trống JAZZ - JAZZ Drum > TAMA Jazz Drum	Trống - Amplifier - Trống JAZZ - JAZZ Drum - TAMA Jazz Drum	0	TAMA Jazz Drum	Không Ưu Tiên
4311	Trống Jazz TAMA MBS40RS-MSL Starclassic Steel Blue Burst	Trống Jazz TAMA MBS40RS-MSL Starclassic Steel Blue Burst, Nhạc cụ Tiến Đạt	http://localhost:50857/tama-jazz-drum/trong-jazz-tama-mbs40rs-msl-starclassic-steel-blue-burst.html	mới	33550000 VND	31872500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/trong-jazz-tama-mbs40rs-msl-starclassic-steel-blue-burst.jpg		Trống - Amplifier > Trống JAZZ - JAZZ Drum > TAMA Jazz Drum	Trống - Amplifier - Trống JAZZ - JAZZ Drum - TAMA Jazz Drum	0	TAMA Jazz Drum	Không Ưu Tiên
4310	Đàn Piano điện Roland F107	Đàn Piano điện Roland F107, Nhạc cụ Tiến Đạt	http://localhost:50857/rp-series/dan-piano-dien-roland-f107.html	mới	23860000 VND	22700000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-piano-dien-roland-f107_7294.jpg		Đàn Piano > Đàn Piano Roland > RP Series	Đàn Piano - Đàn Piano Roland - RP Series	0	RP Series	Không Ưu Tiên
4309	Trống điện tử Roland SPD-SX Pro	Trống điện tử Roland SPD-SX Pro, Nhạc cụ Tiến Đạt	http://localhost:50857/trong-dien-tu-roland/trong-dien-tu-roland-spd-sx-pro.html	mới	31500000 VND	31500000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/trong-dien-tu-roland-spd-sx-pro_5929.jpg			0	0	Trống điện tử ROLAND	Không Ưu Tiên
4308	Đàn Piano điện Roland FP-E50	Đàn Piano điện Roland FP-E50, Nhạc cụ Tiến Đạt	http://localhost:50857/rp-series/dan-piano-dien-roland-fp-e50.html	mới	34500000 VND	31050000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-piano-dien-roland-fp-e50.jpg			0	0	RP Series	Không Ưu Tiên
4307	Trống điện tử Roland TD-02K	Trống điện tử Roland TD-02K, Nhạc cụ Tiến Đạt	http://localhost:50857/trong-dien-tu-roland/trong-dien-tu-roland-td-02k.html	mới	12500000 VND	11950000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/trong-dien-tu-roland-td-02k.jpg		Trống - Amplifier > Trống Điện Tử > Trống điện tử ROLAND	Trống - Amplifier - Trống Điện Tử - Trống điện tử ROLAND	0	Trống điện tử ROLAND	Ưu Tiên Số 1
4306	Đàn Organ điện tử Yamaha MODX8+	Đàn Organ điện tử Yamaha MODX8+, Nhạc cụ Tiến Đạt	http://localhost:50857/modx-series/dan-organ-dien-tu-yamaha-modx8-plus.html	mới	46823000 VND	46823000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-organ-dien-tu-yamaha-modx8-plus.jpg		Đàn Organ > Đàn Organ Yamaha > MODX Series	Đàn Organ - Đàn Organ Yamaha - MODX Series	0	MODX Series	Không Ưu Tiên
4305	Đàn Organ điện tử Yamaha MODX7+	Đàn Organ điện tử Yamaha MODX7+, Nhạc cụ Tiến Đạt	http://localhost:50857/modx-series/dan-organ-dien-tu-yamaha-modx7-plus.html	mới	38477000 VND	38477000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-organ-dien-tu-yamaha-modx7-plus_2330.jpg			0	0	MODX Series	Không Ưu Tiên
4304	Đàn Piano cơ Kawai GL10 Japan	Đàn Piano cơ Kawai GL10 Japan, Nhạc cụ Tiến Đạt	http://localhost:50857/grand-piano-kawai/dan-piano-co-kawai-gl10-japan.html	mới	356000000 VND	338200000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-piano-co-kawai-gl10-japan.jpg		Đàn Piano > Đàn Piano Kawai > Grand Piano Kawai	Đàn Piano - Đàn Piano Kawai - Grand Piano Kawai	0	Grand Piano Kawai	Không Ưu Tiên
4303	Phơ đa hiệu ứng cho đàn guitar NUX MFX-10	Phơ đa hiệu ứng cho đàn guitar NUX MFX-10, Nhạc cụ Tiến Đạt	http://localhost:50857/pho-guitar-hang-khac/pho-da-hieu-ung-cho-dan-guitar-nux-mfx-10.html	mới	3100000 VND	3100000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/pho-da-hieu-ung-cho-dan-guitar-nux-mfx-10.jpg			0	0	Phơ guitar hãng khác	Không Ưu Tiên
4302	Dây Cable Fender 10m	Dây Cable Fender 10m, Nhạc cụ Tiến Đạt	http://localhost:50857/phu-kien-khac1/day-cable-fender-10m.html	mới	280000 VND	280000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/day-cable-fender-6m_5435.jpg			0	0	Phụ kiện khác	Không Ưu Tiên
4301	Chân đàn Organ chữ X 2 tầng Quik Lock T-22BK	Chân đàn Organ chữ X 2 tầng Quik Lock T-22BK, Nhạc cụ Tiến Đạt	http://localhost:50857/chan-dan/chan-dan-organ-chu-x-2-tang-quik-lock-t-22bk.html	mới	1380000 VND	1380000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/chan-dan-organ-chu-x-2-tang-quik-lock-t-22bk.jpg			0	0	Chân Đàn	Không Ưu Tiên
4300	Chân đàn Organ chữ X Quik Lock T-10BK	Chân đàn Organ chữ X Quik Lock T-10BK, Nhạc cụ Tiến Đạt	http://localhost:50857/chan-dan/chan-dan-organ-chu-x-quik-lock-t-10bk.html	mới	500000 VND	500000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/chan-dan-organ-chu-x-quik-lock-t-20bk_6893.jpg			0	0	Chân Đàn	Không Ưu Tiên
4299	Đàn Guitar Acoustic Standard Series OM-42 w/Case	Đàn Guitar Acoustic Standard Series OM-42 w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-standard-series-om-42-w-case.html	mới	170060000 VND	161557000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-standard-series-om-42-w-case_6867.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4298	Đàn Guitar Acoustic Martin Road Series GPC-13E Ziricote w/Soft Case	Đàn Guitar Acoustic Martin Road Series GPC-13E Ziricote w/Soft Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-road-series-gpc-13e-ziricote-w-soft-case.html	mới	38500000 VND	36575000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-road-series-gpc-13e-ziricote-w-soft-case_2474.jpg		Đàn Guitar > Đàn Guitar MARTIN > Guitar Acoustic Martin	Đàn Guitar - Đàn Guitar MARTIN - Guitar Acoustic Martin	0	Guitar Acoustic Martin	Không Ưu Tiên
4297	Đàn Guitar Acoustic-Electric Martin DJR-10E StreetMaster w/Bag, Natural	Đàn Guitar Acoustic-Electric Martin DJR-10E StreetMaster w/Bag, Natural, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-electric-martin-djr-10e-streetmaster-w-bag-natural.html	mới	18590000 VND	17660500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-electric-martin-djr-10e-streetmaster-w-bag-natural_1453.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4296	Đàn Guitar Acoustic Martin D-X2E Dreadnought Sunburst w/Bag	Đàn Guitar Acoustic Martin D-X2E Dreadnought Sunburst w/Bag, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-d-x2e-dreadnought-sunburst-w-bag.html	mới	17270000 VND	16406500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-d-x2e-dreadnought-sunburst-w-bag_1941.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4295	Đàn Guitar Acoustic -Electric Martin SC-10E w/Soft Case	Đàn Guitar Acoustic -Electric Martin SC-10E w/Soft Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-electric-martin-sc-10e-w-soft-case.html	mới	34540000 VND	32813000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-electric-martin-sc-10e-w-soft-case.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4294	Đàn Guitar Acoustic Martin Standard Series D-21 Special  w/Case	Đàn Guitar Acoustic Martin Standard Series D-21 Special  w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-standard-series-d-21-special-w-case.html	mới	68300000 VND	64885000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-standard-series-d-21-special-w-case_9038.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4293	Đàn Guitar Acoustic Martin Little Martin LX1E w/Case	Đàn Guitar Acoustic Martin Little Martin LX1E w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-little-martin-lx1e-w-case.html	mới	13310000 VND	12644500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-little-martin-lx1e-w-case_9546.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4292	Đàn Guitar Acoustic Martin X Series 00-X2E Sitka Spruce w/Case	Đàn Guitar Acoustic Martin X Series 00-X2E Sitka Spruce w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-x-series-00-x2e-sitka-spruce-w-case.html	mới	17270000 VND	16406500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-x-series-00-x2e-sitka-spruce-w-case_1293.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4291	Đàn Guitar Acoustic Martin 16 Series OMC-16E Mahogany Burst w/Case	Đàn Guitar Acoustic Martin 16 Series OMC-16E Mahogany Burst w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-16-series-omc-16e-mahogany-burst-w-case.html	mới	53130000 VND	50473500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-16-series-omc-16e-mahogany-burst-w-case_9539.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4290	Đàn Guitar Acoustic Martin Standard Series D-18 Dreadnought w/Case	Đàn Guitar Acoustic Martin Standard Series D-18 Dreadnought w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-standard-series-d-18-dreadnought-w-case.html	mới	77110000 VND	73254500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-standard-series-d-18-dreadnought-w-case_4874.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4289	Đàn Guitar Acoustic Martin 16 Series D-16E Mahogany w/Case	Đàn Guitar Acoustic Martin 16 Series D-16E Mahogany w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-16-series-d-16e-mahogany-w-case.html	mới	51810000 VND	49219500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-16-series-d-16e-mahogany-w-case_7164.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4288	Đàn Guitar Acoustic Martin 15 Series  000-15SM Mahogany w/Case	Đàn Guitar Acoustic Martin 15 Series  000-15SM Mahogany w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-15-series-000-15sm-mahogany-w-case.html	mới	47850000 VND	45457500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-15-series-000-15sm-mahogany-w-case.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4287	Đàn Guitar Acoustic Martin D12-01 w/Bag	Đàn Guitar Acoustic Martin D12-01 w/Bag, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-d12-01-w-bag.html	mới	31900000 VND	30305000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-d12-01-w-bag.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4286	Đàn Guitar Acoustic Martin 17 Series  000-17E Black Smoke w/Case	Đàn Guitar Acoustic Martin 17 Series  000-17E Black Smoke w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-17-series-000-17e-black-smoke-w-case.html	mới	53130000 VND	50473500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-17-series-000-17e-black-smoke-w-case_9135.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4285	Đàn Guitar Acoustic Martin 17 Series  000-17E Whiskey Sunset w/Case	Đàn Guitar Acoustic Martin 17 Series  000-17E Whiskey Sunset w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-acoustic-martin-17-series-000-17e-whiskey-sunset-w-case.html	mới	50490000 VND	47965500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-acoustic-martin-17-series-000-17e-whiskey-sunset-w-case_2210.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4284	Đàn Guitar Martin 15 Series OMC-15ME Mahogany w/Case	Đàn Guitar Martin 15 Series OMC-15ME Mahogany w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-martin-15-series-omc-15me-mahogany-w-case.html	mới	42570000 VND	40441500 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-martin-15-series-omc-15me-mahogany-w-case.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
4283	Đàn Guitar Martin Road Series 000-12E Koa w/Case	Đàn Guitar Martin Road Series 000-12E Koa w/Case, Nhạc cụ Tiến Đạt	http://localhost:50857/guitar-acoustic-martin/dan-guitar-martin-road-series-000-12e-koa-w-case.html	mới	35860000 VND	34067000 VND	2023-04-01T08:00+0700/2023-04-30T23:00+0700	còn hàng	https://www.mayhutbui.vn/upload/img/dan-guitar-martin-road-series-000-12e-koa-w-case_3812.jpg			0	0	Guitar Acoustic Martin	Không Ưu Tiên
